date,strategy,regime,portfolio_value,sharpe,expected_return,annual_vol,orders_placed,final_weights,notes
2026-06-08,HRP_MOMENTUM,RISK_ON,,2.1274,1.3325,0.6052,0,"{""TQQQ"": 0.04195590532441059, ""UPRO"": 0.000544353743089291, ""QQQ"": 0.000799452058406708, ""TECL"": 0.041935500726160146, ""SOXL"": 0.04192043259500805, ""MTUM"": 0.0007013007038116568, ""BITO"": 0.0, ""VEA"": 0.0007364916559037416, ""IWM"": 0.0007566481717487979, ""AVUV"": 0.0004894639041626729, ""TLT"": 0.0, ""SHV"": 0.7827264114656474, ""VGT"": 0.0, ""GLD"": 0.0, ""STI"": 0.08743403965165095}","Drawdown circuit breaker: -100.0% from ATH $1,118 — trading paused"
2026-06-09,HRP_MOMENTUM,RISK_ON,989.93,2.1943,1.3817,0.6091,4,"{""TQQQ"": 0.06875384112512083, ""UPRO"": 0.0008929334874391764, ""QQQ"": 0.0013079384506043588, ""TECL"": 0.06872041390011811, ""SOXL"": 0.0686956503501366, ""MTUM"": 0.0011408686127988663, ""BITO"": 0.0, ""VEA"": 0.0012051134845886846, ""IWM"": 0.001241942379881832, ""AVUV"": 0.0008036532433989875, ""TLT"": 0.0, ""SHV"": 0.7872376449659126, ""VGT"": 0.0, ""GLD"": 0.0}",
2026-06-10,HRP_MOMENTUM,RISK_ON,920.76,2.0893,1.3206,0.6105,5,"{""TQQQ"": 0.04079602452513557, ""UPRO"": 0.0005296583573167279, ""QQQ"": 0.000774494108638338, ""TECL"": 0.04077609443163381, ""SOXL"": 0.04076153483987859, ""MTUM"": 0.0006762360635851958, ""BITO"": 0.0, ""VEA"": 0.0007147406162070868, ""IWM"": 0.0007370336261288196, ""AVUV"": 0.0004769091073922301, ""TLT"": 0.0, ""SHV"": 0.7887453378419852, ""VGT"": 0.0, ""GLD"": 0.0, ""NUVL"": 0.045239938839389274, ""SJM"": 0.03977199764270929}",
2026-06-11,HRP_MOMENTUM,RISK_ON,898.94,2.0155,1.2818,0.6136,6,"{""TQQQ"": 0.06638164469159018, ""UPRO"": 0.0008646544471820344, ""QQQ"": 0.0012570572641386242, ""TECL"": 0.06634932765224826, ""SOXL"": 0.0663258541050958, ""MTUM"": 0.0011002501062914694, ""BITO"": 0.0, ""VEA"": 0.0011660355001965976, ""IWM"": 0.0007242499039199375, ""AVUV"": 0.001305001663647496, ""TLT"": 0.0, ""SHV"": 0.7945259246656897, ""VGT"": 0.0, ""GLD"": 0.0}",
2026-06-12,MAX_SHARPE,CHOPPY,915.28,2.4601,0.5741,0.2151,7,"{""QQQ"": 0.0, ""TQQQ"": 0.0, ""UPRO"": 0.0, ""SOXL"": 0.09993248979001926, ""TECL"": 0.0, ""VGT"": 0.0, ""MTUM"": 0.0, ""IWM"": 0.0, ""AVUV"": 0.1998649795800385, ""BITO"": 0.0, ""VEA"": 0.0, ""GLD"": 0.06662165986001282, ""TLT"": 0.06662165986018274, ""SHV"": 0.5669592109238741}",
2026-06-15,HRP_MOMENTUM,RISK_ON,938.57,2.1932,1.4148,0.6245,8,"{""TQQQ"": 0.03777646805066542, ""UPRO"": 0.000482877040649304, ""QQQ"": 0.0006958377535515017, ""TECL"": 0.03775837798749044, ""SOXL"": 0.037745139579504705, ""MTUM"": 0.0006073146789228183, ""BITO"": 0.0, ""VEA"": 0.000640951115964034, ""IWM"": 0.0006739126444317785, ""AVUV"": 0.0004398465401503782, ""TLT"": 0.0, ""SHV"": 0.8045121194629926, ""VGT"": 0.0, ""GLD"": 0.0, ""COIN"": 0.07866715514567703}",
2026-06-16,MAX_SHARPE,CHOPPY,939.24,2.5454,0.5785,0.2096,5,"{""QQQ"": 1.6139738557232637e-16, ""TQQQ"": 2.5236812406338965e-14, ""UPRO"": 2.6367930726486156e-14, ""SOXL"": 0.060449747859227736, ""TECL"": 2.135934469060778e-13, ""VGT"": 1.477307754465686e-14, ""MTUM"": 2.0476976987806454e-13, ""IWM"": 1.0972817339065147e-14, ""AVUV"": 0.09846214543597782, ""BITO"": 2.5184501823043833e-14, ""VEA"": 2.2915725723781405e-15, ""GLD"": 0.040299831906594585, ""TLT"": 0.04029983190615182, ""SHV"": 0.4918228968505126, ""COIN"": 0.26866554604101217}",
2026-06-17,MAX_SHARPE,CHOPPY,966.55,2.2462,0.4031,0.1594,13,"{""QQQ"": 1.6119371839503946e-11, ""TQQQ"": 7.591966270776077e-13, ""UPRO"": 8.251718649243637e-13, ""SOXL"": 0.05339979150222327, ""TECL"": 6.879140286277184e-12, ""VGT"": 5.066639624990164e-13, ""MTUM"": 9.69947289182346e-13, ""IWM"": 1.7285888410274725e-12, ""AVUV"": 0.13379705137352493, ""BITO"": 7.093694802510662e-13, ""VEA"": 0.0, ""GLD"": 0.06447031316197746, ""TLT"": 0.05339979150222327, ""SHV"": 0.33893444241673176, ""COIN"": 0.1680756071725814, ""PLTR"": 0.09790753399093123, ""NVDA"": 0.09001546885130918}",
2026-06-18,MAX_SHARPE,CHOPPY,959.13,2.3669,0.5457,0.2115,7,"{""QQQ"": 7.127501756378998e-13, ""TQQQ"": 8.21198258392418e-13, ""UPRO"": 1.0225028484715223e-12, ""SOXL"": 0.05848194992611391, ""TECL"": 9.295624157266679e-12, ""VGT"": 5.085732714943915e-13, ""MTUM"": 1.4631766829563426e-11, ""IWM"": 4.519098208308108e-12, ""AVUV"": 0.09522795610411978, ""BITO"": 8.106280740259646e-13, ""VEA"": 9.444804407102024e-12, ""GLD"": 0.038987966644843546, ""TLT"": 0.03898796662311112, ""SHV"": 0.5083943832106496, ""COIN"": 0.25991977744939515}",
2026-06-22,MAX_SHARPE,CHOPPY,971.14,2.5466,0.607,0.2207,4,"{""QQQ"": 6.479472833493392e-14, ""TQQQ"": 2.1930417944472729e-13, ""UPRO"": 1.0039690229468882e-13, ""SOXL"": 0.056252821085084594, ""TECL"": 2.3810874222071075e-12, ""VGT"": 1.319334886585677e-13, ""MTUM"": 4.041855262833084e-12, ""IWM"": 4.971926542236327e-12, ""AVUV"": 0.11250564216870998, ""BITO"": 2.129431010259445e-13, ""VEA"": 1.937552745091626e-12, ""GLD"": 0.03750188072935084, ""TLT"": 0.037501880723389724, ""SHV"": 0.5062252371234714, ""NVDA"": 0.2500125381559315}",
2026-06-23,MAX_SHARPE,CHOPPY,943.55,2.4852,0.4398,0.1589,9,"{""QQQ"": 1.0408948585887e-14, ""TQQQ"": 0.0, ""UPRO"": 0.0, ""SOXL"": 0.08844284466347907, ""TECL"": 0.0, ""VGT"": 0.0, ""MTUM"": 2.229009378188151e-14, ""IWM"": 1.7282338368814664e-14, ""AVUV"": 0.22590691768672652, ""BITO"": 0.0, ""VEA"": 1.6398616813799103e-14, ""GLD"": 0.08844284466349576, ""TLT"": 0.08844284466349892, ""SHV"": 0.5087645483229017}",
2026-07-07,HRP_MOMENTUM,RISK_ON,,0.7275,0.3583,0.4307,0,"{""VEA"": 0.0007569119633005514, ""TQQQ"": 0.05187368108683098, ""SOXL"": 0.05185680658230272, ""MTUM"": 0.0007874672457075909, ""UPRO"": 0.0007083917966181533, ""QQQ"": 0.0009056554815793145, ""TECL"": 0.051871216188758215, ""BITO"": 0.0, ""IWM"": 0.0012200944595547496, ""AVUV"": 0.0008226508724988923, ""TLT"": 0.0, ""SHV"": 0.8391971243228488, ""VGT"": 0.0, ""GLD"": 0.0}","Drawdown circuit breaker: -100.0% from ATH $1,118 — trading paused; ml_shadow p=0.01 would_mult=1.09"
2026-07-27,HRP_MOMENTUM,CHOPPY,910.83,0.761,0.1866,0.1861,3,"{""VEA"": 0.0016355215492800698, ""TQQQ"": 0.0014251507984784778, ""SOXL"": 0.03, ""MTUM"": 0.001656487468667901, ""UPRO"": 0.001501494105138254, ""QQQ"": 0.0011613689497485366, ""TECL"": 0.03, ""BITO"": 0.0, ""IWM"": 0.0027792154556286427, ""AVUV"": 0.003213353089707635, ""TLT"": 0.11947243969675947, ""SHV"": 0.5601750076012837, ""VGT"": 0.1275075215885479, ""GLD"": 0.11947243969675947}",ml_shadow p=0.01 would_mult=1.09
2026-07-28,HRP_MOMENTUM,CHOPPY,897.25,1.5401,0.4567,0.2673,7,"{""VEA"": 0.0015674827484007127, ""TQQQ"": 0.0008584022521371439, ""SOXL"": 0.0, ""MTUM"": 0.11626678429075729, ""UPRO"": 0.001499999400139139, ""QQQ"": 0.001894787608196809, ""TECL"": 0.03, ""BITO"": 0.0, ""IWM"": 0.0026600597098904825, ""AVUV"": 0.0030559732013077166, ""TLT"": 0.1085926166545218, ""SHV"": 0.5089680417604374, ""VGT"": 0.11604323571968972, ""GLD"": 0.1085926166545218}",ml_shadow p=0.01 would_mult=1.09
2026-07-29,HRP_MOMENTUM,CHOPPY,897.07,0.7663,0.1913,0.1909,7,"{""VEA"": 0.0018450197885661785, ""TQQQ"": 0.0, ""SOXL"": 0.0, ""MTUM"": 0.001998505308593313, ""UPRO"": 0.03, ""QQQ"": 0.0013695217133456504, ""TECL"": 0.03, ""BITO"": 0.0, ""IWM"": 0.003127804787039408, ""AVUV"": 0.0035617754235340647, ""TLT"": 0.11963623200579665, ""SHV"": 0.560579502522423, ""VGT"": 0.12824540644490512, ""GLD"": 0.11963623200579665}",ml_shadow p=0.01 would_mult=1.08
2026-07-30,HRP_MOMENTUM,CHOPPY,898.06,-0.0561,0.0355,0.1685,8,"{""TQQQ"": 0.0, ""SOXL"": 0.0, ""MTUM"": 0.0010509884420336082, ""UPRO"": 0.0013678249878395906, ""QQQ"": 0.0, ""TECL"": 0.03, ""VEA"": 0.0012491529213017438, ""IWM"": 0.11899787090261764, ""AVUV"": 0.0035198267770297944, ""TLT"": 0.10860096226862864, ""SHV"": 0.5104982819270151, ""VGT"": 0.11611412950490531, ""BITO"": 0.0, ""GLD"": 0.10860096226862864}",ml_shadow p=0.14 would_mult=0.92
2026-07-31,HRP_MOMENTUM,RISK_ON,902.66,1.192,0.2616,0.1817,9,"{""IWM"": 0.0018729339738520077, ""AVUV"": 0.0017389399885302565, ""VEA"": 0.0016302919162442331, ""TQQQ"": 0.0006164178999119678, ""SOXL"": 0.0, ""MTUM"": 0.0013098569423284248, ""UPRO"": 0.1038770185156586, ""QQQ"": 0.0017081335512492875, ""TECL"": 0.10382274082666047, ""TLT"": 0.0, ""SHV"": 0.6796260393435746, ""VGT"": 0.10379762704199028, ""BITO"": 0.0, ""GLD"": 0.0}",ml_shadow p=0.00 would_mult=1.09
2026-08-03,HRP_MOMENTUM,RISK_ON,896.02,1.1246,0.2489,0.1813,0,"{""AMPG"": 0.0004, ""APGE"": 0.0004, ""AVUV"": 0.0018, ""BITO"": 0.0, ""COIN"": 0.0009, ""DELL"": 0.0008, ""DFTX"": 0.0003, ""GLD"": 0.0005, ""HPE"": 0.0, ""IWM"": 0.0019, ""MRVL"": 0.0004, ""MTUM"": 0.0017, ""NBIS"": 0.0001, ""NUVL"": 0.0002, ""NVDA"": 0.0, ""PLTR"": 0.0005, ""QQQ"": 0.0013, ""REPL"": 0.0004, ""SHV"": 0.6827, ""SJM"": 0.0001, ""SNOW"": 0.001, ""SOXL"": 0.0001, ""STX"": 0.0002, ""TECL"": 0.0925, ""TLT"": 0.0005, ""TQQQ"": 0.0, ""TSLA"": 0.0, ""UPRO"": 0.1066, ""VEA"": 0.0012, ""VGT"": 0.1031, ""WDC"": 0.0002, ""XLC"": 0.0}",no_rebalance; ml_shadow p=0.00 would_mult=1.09
2026-08-04,HRP_MOMENTUM,RISK_ON,917.61,1.1564,0.2566,0.183,0,"{""AMPG"": 0.0005, ""APGE"": 0.0004, ""AVUV"": 0.0017, ""BITO"": 0.0, ""COIN"": 0.001, ""DELL"": 0.0009, ""DFTX"": 0.0003, ""GLD"": 0.0005, ""HPE"": 0.0, ""IWM"": 0.0019, ""MRVL"": 0.0005, ""MTUM"": 0.0018, ""NBIS"": 0.0002, ""NUVL"": 0.0002, ""NVDA"": 0.0, ""PLTR"": 0.0006, ""QQQ"": 0.0013, ""REPL"": 0.0005, ""SHV"": 0.6667, ""SJM"": 0.0001, ""SNOW"": 0.0009, ""SOXL"": 0.0001, ""STX"": 0.0002, ""TECL"": 0.1037, ""TLT"": 0.0005, ""TQQQ"": 0.0, ""TSLA"": 0.0, ""UPRO"": 0.1089, ""VEA"": 0.0012, ""VGT"": 0.1052, ""WDC"": 0.0002, ""XLC"": 0.0}",no_rebalance; ml_shadow p=0.00 would_mult=1.10
2026-08-05,HRP_MOMENTUM,RISK_ON,933.76,1.816,1.05,0.5534,5,"{""IWM"": 0.0015392738664686443, ""AVUV"": 0.0014258650050928262, ""VEA"": 0.0007981717399307066, ""TQQQ"": 0.08435814026573481, ""SOXL"": 0.0007877121251250295, ""MTUM"": 0.0010502601448209449, ""UPRO"": 0.08450784824500014, ""QQQ"": 0.001408776368493556, ""TECL"": 0.08446109706876256, ""TLT"": 0.0, ""SHV"": 0.7388009089626517, ""VGT"": 0.000861946207919088, ""BITO"": 0.0, ""GLD"": 0.0}",ml_shadow p=0.00 would_mult=1.10
2026-08-06,HRP_MOMENTUM,RISK_ON,921.16,1.2903,0.2826,0.1841,5,"{""IWM"": 0.002095549070460536, ""AVUV"": 0.0019466066714686667, ""VEA"": 0.001097867790887465, ""TQQQ"": 0.0011564661398050485, ""SOXL"": 0.0, ""MTUM"": 0.0014681260213656058, ""UPRO"": 0.10897410536631395, ""QQQ"": 0.0018870673613390727, ""TECL"": 0.10891497748468525, ""TLT"": 0.0, ""SHV"": 0.6635664912895973, ""VGT"": 0.10889274280407703, ""BITO"": 0.0, ""GLD"": 0.0}",ml_shadow p=0.00 would_mult=1.10
2026-08-07,HRP_MOMENTUM,RISK_ON,931.91,1.217,0.2654,0.1811,0,"{""AMPG"": 0.0005, ""APGE"": 0.0004, ""AVUV"": 0.0017, ""BITO"": 0.0, ""COIN"": 0.0009, ""DELL"": 0.0009, ""DFTX"": 0.0003, ""GLD"": 0.0005, ""HPE"": 0.0, ""IWM"": 0.0019, ""MRVL"": 0.0005, ""MTUM"": 0.0018, ""NBIS"": 0.0001, ""NUVL"": 0.0002, ""NVDA"": 0.0, ""PLTR"": 0.0006, ""QQQ"": 0.0013, ""REPL"": 0.0005, ""SHV"": 0.6561, ""SJM"": 0.0001, ""SNOW"": 0.001, ""SOXL"": 0.0001, ""STX"": 0.0002, ""TECL"": 0.1159, ""TLT"": 0.0005, ""TQQQ"": 0.0012, ""TSLA"": 0.0, ""UPRO"": 0.1006, ""VEA"": 0.0012, ""VGT"": 0.1103, ""WDC"": 0.0001, ""XLC"": 0.0}",no_rebalance; ml_shadow p=0.00 would_mult=1.10
2026-08-10,HRP_MOMENTUM,RISK_ON,934.13,1.2897,0.2806,0.1827,0,"{""AMPG"": 0.0005, ""APGE"": 0.0004, ""AVUV"": 0.0017, ""BITO"": 0.0, ""COIN"": 0.001, ""DELL"": 0.0009, ""DFTX"": 0.0003, ""GLD"": 0.0005, ""HPE"": 0.0, ""IWM"": 0.0019, ""MRVL"": 0.0005, ""MTUM"": 0.0018, ""NBIS"": 0.0001, ""NUVL"": 0.0002, ""NVDA"": 0.0, ""PLTR"": 0.0007, ""QQQ"": 0.0013, ""REPL"": 0.0005, ""SHV"": 0.6547, ""SJM"": 0.0001, ""SNOW"": 0.001, ""SOXL"": 0.0001, ""STX"": 0.0001, ""TECL"": 0.1165, ""TLT"": 0.0005, ""TQQQ"": 0.0012, ""TSLA"": 0.0, ""UPRO"": 0.1014, ""VEA"": 0.0012, ""VGT"": 0.1103, ""WDC"": 0.0001, ""XLC"": 0.0}",no_rebalance; ml_shadow p=0.00 would_mult=1.10
2026-08-11,HRP_MOMENTUM,RISK_ON,932.33,1.2753,0.2759,0.1811,0,"{""AMPG"": 0.0005, ""APGE"": 0.0004, ""AVUV"": 0.0017, ""BITO"": 0.0, ""COIN"": 0.0009, ""DELL"": 0.0009, ""DFTX"": 0.0003, ""GLD"": 0.0005, ""HPE"": 0.0, ""IWM"": 0.0019, ""MRVL"": 0.0005, ""MTUM"": 0.0018, ""NBIS"": 0.0001, ""NVDA"": 0.0, ""PLTR"": 0.0007, ""QQQ"": 0.0013, ""REPL"": 0.0005, ""SHV"": 0.6559, ""SJM"": 0.0001, ""SNOW"": 0.001, ""SOXL"": 0.0001, ""STX"": 0.0002, ""TECL"": 0.115, ""TLT"": 0.0005, ""TQQQ"": 0.0012, ""TSLA"": 0.0, ""UPRO"": 0.1018, ""VEA"": 0.0012, ""VGT"": 0.1101, ""WDC"": 0.0001, ""XLC"": 0.0}",no_rebalance; ml_shadow p=0.00 would_mult=1.10
2026-08-12,HRP_MOMENTUM,RISK_ON,937.21,0.5322,0.2432,0.3724,7,"{""IWM"": 0.006653046097372149, ""AVUV"": 0.26531046909317996, ""VEA"": 0.0036514589394889326, ""TQQQ"": 0.0, ""SOXL"": 0.0, ""MTUM"": 0.0, ""UPRO"": 0.26300120948120986, ""QQQ"": 0.0, ""TECL"": 0.0029001846524577095, ""TLT"": 0.0, ""SHV"": 0.19565619680162694, ""VGT"": 0.26282743493466454, ""BITO"": 0.0, ""GLD"": 0.0}",ml_shadow p=0.00 would_mult=1.10
