timestamp,ticker,price,today_pct,mom_5d,sentiment_score,reason
2026-05-22T16:10:19.510102,RGTI,27.26,0.2368,0.5272,0.85,single-day move +23.7%; sentiment score +0.85; 5d momentum +52.7%
2026-05-22T16:10:19.510102,IONQ,65.19,0.1069,0.2548,0.85,single-day move +10.7%; sentiment score +0.85; 5d momentum +25.5%
2026-05-22T16:10:19.510102,QBTS,30.99,0.204,0.5229,0.65,single-day move +20.4%; 5d momentum +52.3%
2026-05-22T16:32:58.966154,RGTI,27.59,0.2518,0.5457,0.85,single-day move +25.2%; sentiment score +0.85; 5d momentum +54.6%
2026-05-22T16:32:58.966154,IONQ,65.36,0.1099,0.2581,0.72,single-day move +11.0%; 5d momentum +25.8%
2026-05-22T16:32:58.966154,QBTS,31.41,0.2201,0.5432,0.65,single-day move +22.0%; 5d momentum +54.3%
2026-05-26T16:57:39.053882,SMCI,37.56,0.0558,0.2177,-0.55,5d momentum +21.8%
2026-05-26T16:57:39.053882,RGTI,25.17,-0.0471,0.5147,0.75,sentiment score +0.75; 5d momentum +51.5%
2026-05-26T16:57:39.053882,IONQ,63.67,0.0005,0.2912,0.15,5d momentum +29.1%
2026-05-26T16:57:39.053882,QBTS,27.71,-0.0575,0.4538,0.75,sentiment score +0.75; 5d momentum +45.4%
2026-05-26T16:57:39.053882,LLY,1077.42,0.0117,0.0904,0.75,sentiment score +0.75
2026-05-29T13:31:27.204665,PLTR,147.62,0.0299,0.0743,0.75,sentiment score +0.75
2026-05-29T13:31:27.204665,SNOW,239.73,0.0022,0.4482,0.95,sentiment score +0.95; 5d momentum +44.8%
2026-05-29T13:31:27.204665,DELL,415.83,0.3116,0.6449,0.95,single-day move +31.2%; sentiment score +0.95; 5d momentum +64.5%
2026-05-29T13:31:27.204665,MU,957.59,0.0369,0.2565,0.7,5d momentum +25.7%
2026-05-29T13:31:27.204665,ONDS,12.86,-0.0294,0.4009,0.85,sentiment score +0.85; 5d momentum +40.1%
2026-05-29T13:31:27.204665,LRCX,318.96,0.003,0.0553,0.75,sentiment score +0.75
2026-05-29T13:31:27.204665,MRVL,204.24,-0.0029,0.071,0.85,sentiment score +0.85
2026-05-29T13:31:27.204665,SMCI,45.24,0.0954,0.3521,0.65,5d momentum +35.2%
2026-05-29T13:31:27.204665,AVGO,436.41,0.023,0.0527,0.75,sentiment score +0.75
2026-05-29T13:31:27.204665,ALGM,51.92,0.0159,0.1614,0.55,5d momentum +16.1%
2026-05-29T13:31:27.204665,MCHP,96.55,0.0053,0.065,0.75,sentiment score +0.75
2026-05-29T13:31:27.204665,LLY,1122.09,-0.0042,0.0772,0.85,sentiment score +0.85
2026-05-29T13:31:27.204665,RCAT,13.05,-0.0776,0.4454,0.85,sentiment score +0.85; 5d momentum +44.5%
2026-05-29T13:31:27.204665,HPQ,27.17,0.0866,0.2409,0.55,5d momentum +24.1%
2026-05-29T13:31:27.204665,BBY,73.43,-0.0175,0.2009,0.82,sentiment score +0.82; 5d momentum +20.1%
2026-05-29T13:31:27.204665,NOW,118.38,0.0888,0.1875,0.35,5d momentum +18.7%
2026-06-01T13:31:21.788884,PLTR,158.11,0.01,0.1551,0.75,sentiment score +0.75; 5d momentum +15.5%
2026-06-01T13:31:21.788884,DELL,431.49,0.0251,0.4617,0.92,sentiment score +0.92; 5d momentum +46.2%
2026-06-01T13:31:21.788884,REPL,9.82,0.13,1.0,0.85,single-day move +13.0%; sentiment score +0.85; 5d momentum +100.0%
2026-06-01T13:31:21.788884,PRFX,2.23,-0.2567,0.4966,0.75,single-day move -25.7%; sentiment score +0.75; 5d momentum +49.7%
2026-06-01T13:31:21.788884,ASTC,39.59,-0.2051,16.3632,0.65,single-day move -20.5%; 5d momentum +1636.3%
2026-06-01T13:31:21.788884,STG,5.24,-0.1466,0.9336,0.75,single-day move -14.7%; sentiment score +0.75; 5d momentum +93.4%
2026-06-01T13:31:21.788884,APP,618.0,0.008,0.283,0.72,5d momentum +28.3%
2026-06-01T13:31:21.788884,NOW,132.12,0.0623,0.2936,0.65,5d momentum +29.4%
2026-06-01T13:31:21.788884,NBIS,248.05,0.0734,0.155,0.75,sentiment score +0.75; 5d momentum +15.5%
2026-06-01T13:31:21.788884,CIEN,561.03,-0.0331,-0.0389,0.75,sentiment score +0.75
2026-06-01T13:31:21.788884,MU,1017.16,0.0475,0.3544,0.85,sentiment score +0.85; 5d momentum +35.4%
2026-06-01T13:31:21.788884,RVMD,159.61,0.0135,0.0531,0.85,sentiment score +0.85
2026-06-01T13:31:21.788884,SMMT,16.27,-0.0721,-0.0208,0.75,sentiment score +0.75
2026-06-01T13:31:21.788884,SOFI,18.09,-0.0071,0.1581,0.75,sentiment score +0.75; 5d momentum +15.8%
2026-06-01T13:31:21.788884,TMHC,71.55,0.2231,0.2338,0.95,single-day move +22.3%; sentiment score +0.95; 5d momentum +23.4%
2026-06-01T13:31:21.788884,HPE,43.5,0.0107,0.1575,0.78,sentiment score +0.78; 5d momentum +15.8%
2026-06-01T13:31:21.788884,AVGO,445.88,-0.002,0.0766,0.75,sentiment score +0.75
2026-06-01T13:31:21.788884,PGY,15.41,0.0192,0.2077,0.65,5d momentum +20.8%
2026-06-01T13:31:21.788884,SPCE,7.59,0.2273,1.341,0.75,single-day move +22.7%; sentiment score +0.75; 5d momentum +134.1%
2026-06-01T13:31:21.788884,GNRC,270.25,-0.0276,0.0004,0.75,sentiment score +0.75
